N    |  logged   accept
2825 |   1175,   41.59 %
2830 |   1914,   67.63 %
2835 |   1740,   61.38 %
2840 |   1978,   69.65 %
2845 |   1659,   58.31 %
2850 |   2199,   77.16 %
2855 |   1154,   40.42 %
2860 |   1922,   67.20 %
2865 |   2514,   87.75 %
2870 |   1033,   35.99 %
2875 |   1978,   68.80 %
2880 |   1528,   53.06 %
2885 |   2354,   81.59 %
2890 |   1946,   67.34 %
2895 |   1359,   46.94 %
2900 |    466,   16.07 %
2905 |   1860,   64.03 %
2910 |   1858,   63.85 %
2915 |   1607,   55.13 %
2920 |   1340,   45.89 %
2925 |    792,   27.08 %
2930 |   2900,   98.98 %
2935 |   1601,   54.55 %
2940 |   2436,   82.86 %
2945 |   2288,   77.69 %
2950 |   1691,   57.32 %
2955 |   1355,   45.85 %
2960 |   1344,   45.41 %
2965 |   1951,   65.80 %
2970 |    924,   31.11 %
2975 |   2278,   76.57 %
2980 |   1590,   53.36 %
2985 |   1963,   65.76 %
2990 |    991,   33.14 %
2995 |   2587,   86.38 %
3000 |   2322,   77.40 %
3005 |   2433,   80.97 %
3010 |   1612,   53.55 %
3015 |   1130,   37.48 %
3020 |   2888,   95.63 %
3025 |   2504,   82.78 %
3030 |   1364,   45.02 %
3035 |   2193,   72.26 %
3040 |    393,   12.93 %
3045 |   2840,   93.27 %
3050 |   1999,   65.54 %
3055 |   2686,   87.92 %
3060 |   2075,   67.81 %
3065 |   1805,   58.89 %
3070 |   2999,   97.69 %
3075 |   2928,   95.22 %
3080 |   2819,   91.53 %
3085 |   1381,   44.76 %
3090 |   1171,   37.90 %
3095 |   2947,   95.22 %
3100 |    661,   21.32 %
3105 |   2630,   84.70 %
3110 |   1304,   41.93 %
3115 |   2869,   92.10 %
3120 |   2188,   70.13 %
3125 |   1250,   40.00 %
3130 |   1090,   34.82 %
3135 |   2233,   71.23 %
3140 |   2974,   94.71 %
3145 |   1431,   45.50 %
3150 |    769,   24.41 %
3155 |   1307,   41.43 %
3160 |   3023,   95.66 %
3165 |   2853,   90.14 %
3170 |   2532,   79.87 %
3175 |    692,   21.80 %
3180 |   2835,   89.15 %
3185 |   1893,   59.43 %
3190 |   1759,   55.14 %
3195 |    753,   23.57 %
3200 |   1292,   40.38 %
3205 |   2233,   69.67 %
3210 |   1499,   46.70 %
3215 |   1158,   36.02 %
3220 |   2193,   68.11 %
3225 |   1550,   48.06 %
3230 |   2355,   72.91 %
3235 |   2783,   86.03 %
3240 |    957,   29.54 %
3245 |   1353,   41.69 %
3250 |   3227,   99.29 %
3255 |   2180,   66.97 %
3260 |    790,   24.23 %
3265 |   2419,   74.09 %
3270 |    865,   26.45 %
3275 |   2563,   78.26 %
3280 |   2160,   65.85 %
3285 |    889,   27.06 %
3290 |    556,   16.90 %
3295 |   1267,   38.45 %
3300 |   1801,   54.58 %
3305 |   1777,   53.77 %
3310 |   1957,   59.12 %
3315 |   2681,   80.87 %
3320 |    242,   7.29 %
3325 |   2711,   81.53 %
3330 |   2767,   83.09 %
3335 |   1087,   32.59 %
3340 |   1771,   53.02 %
3345 |   2692,   80.48 %
3350 |   2391,   71.37 %
3355 |   2538,   75.65 %
3360 |   1162,   34.58 %
3365 |   1863,   55.36 %
3370 |   3347,   99.32 %
3375 |   3143,   93.13 %
3380 |   1566,   46.33 %
3385 |   1670,   49.34 %
3390 |   3199,   94.37 %
3395 |   2626,   77.35 %
